七彩虹RTX3060Ti/3060显卡8G/12G显存 30系列新款 全新台式电脑主机电竞游戏独显 战斧iGame一键超频白色高配,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/2210919752031/O1CN01LQka6a1QsF62HF1hp_!!0-item_pic.jpg_360x360Q90.jpg,4499.00元,82人付款,七彩虹芯联云专卖店
七彩虹iGame RTX3080 Ti显卡火神Ultra/ADOC/战斧超频电脑独显10G,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/1134114936/O1CN013teK6V1mKjfXhDIS4_!!0-item_pic.jpg_360x360Q90.jpg,10899.00元,78人付款,慧川数码专营店
七彩虹战斧iGame GTX1650/1650S/GT730K LP台式机电脑游戏,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2616970884/O1CN0159Q8cr1IOunLiRPYb_!!0-item_pic.jpg_360x360Q90.jpg,1499.00元,113人付款,苏宁易购官方旗舰店
全新精影RX560 4G/550 4G高端吃鸡游戏电脑台式机独立,https://g-search1.alicdn.com/img/bao/uploaded/i4/i2/653974403/O1CN01zUDJA81iOcUiPa5jM_!!0-item_pic.jpg_360x360Q90.jpg,668.00元,63人付款,精影旗舰店
磐镭RX550 4G四屏显卡原生HDMI多屏显卡分屏拼接扩展4K 60HZ高清,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2201273676208/O1CN01QHOOqZ1vjJSkb0Lip_!!0-item_pic.jpg_360x360Q90.jpg,698.00元,21人付款,磐镭旗舰店
华硕RTX ROG 2060S SUPER 8G/6G猛禽显卡电竞游戏全新盒装,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/1097280647/O1CN01gq45d51GeMwZbuKL5_!!0-item_pic.jpg_360x360Q90.jpg,3999.00元,139人付款,京天华盛官方旗舰店
Asus/华硕玩家国度ROG猛禽/TUF特工RTX3060旗舰店全新12G游戏 支持2K显示器,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/654519625/O1CN011oAJ7g2KyIoqRi0w6_!!0-item_pic.jpg_360x360Q90.jpg,5999.00元,196人付款,asus华硕旗舰店
Asus/华硕ROG猛禽RTX3070/3070TI旗舰台式机电脑电竞8g游戏 支持4K显示器,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/654519625/O1CN015r4pGL2KyIokgJ19q_!!0-item_pic.jpg_360x360Q90.jpg,8599.00元,272人付款,asus华硕旗舰店
微星/MSI RTX 3070/3070Ti 8G魔龙/超龙电竞设计台式机电脑,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/2616970884/O1CN01MkU1ZJ1IOuoSyKYR6_!!0-item_pic.jpg_360x360Q90.jpg,7899.00元,135人付款,苏宁易购官方旗舰店
七彩虹RTX3070 8G 战斧AD火神OC电竞吃鸡游戏电脑独立3070Ti,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1097280647/O1CN01RCWlAq1GeMwgUEpdd_!!0-item_pic.jpg_360x360Q90.jpg,5499.00元,80人付款,京天华盛官方旗舰店
华硕ROG猛禽 RTX 3080/ti 白色高达 台式机电脑主机电竞 游戏,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2206372718350/O1CN01I8XMys2BYLq7yogfX_!!0-item_pic.jpg_360x360Q90.jpg,13999.00元,67人付款,卓志数码专营店
技嘉RTX3080 Ti 魔鹰/雪鹰/超级雕/大雕台式机电脑游戏独立,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/1134114936/O1CN01CQsrhF1mKjfhevGKe_!!0-item_pic.jpg_360x360Q90.jpg,10999.00元,123人付款,慧川数码专营店
技嘉RTX3070Ti /3070 8G超级雕独显魔鹰雪鹰白色显卡,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/2116524093/O1CN01gYEJan1g6dmsN67ZT_!!0-item_pic.jpg_360x360Q90.jpg,7299.00元,76人付款,志硕数码专营店
七彩虹镭风GTX1650/1650S SUPER元气电竞台式机电脑游戏独立,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2210548571921/O1CN01RQ6B911Q3rX8zn0G9_!!0-item_pic.jpg_360x360Q90.jpg,1849.00元,455人付款,colorfire旗舰店
七彩虹RTX3070/Ti 8G战斧AD火神UltraW OC白色电脑游戏独立,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/1746864514/O1CN01pTinqF1jDSWurhrMF_!!0-item_pic.jpg_360x360Q90.jpg,6299.00元,347人付款,和瑟数码专营店
七彩虹RTX3060/Ti显卡AD火神Ultra OC白色电竞台式电脑独立,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/1746864514/O1CN01zEdYom1jDSX542M91_!!0-item_pic.jpg_360x360Q90.jpg,4299.00元,275人付款,和瑟数码专营店
